;;;;;;;;;SAS;;HAZ DE TUBOS;;;;;;;;;;CANAL Ó BONETE;;;;;;;;;TAPA CANAL;;;;;;;;;TAPA CABEZAL FLOTANTE;;;;;;;;;ANILLO Y MEDIAS LUNAS;;;;;;;;CASCO;;;;;;;TAPA CASCO;;;;;;;;;ARMADO DE PARTES;;;;;PRUEBA HIDROSTATICA;;NORMALIZACIÓN;;;;;;;;
;;;;;;;;;LADO TUBOS;LADO CASCO;UBICACIÓN;RETIRO;LAVADO;EDDY / IRIS;INSPECCION VISUAL;RT POST INSPECCIÓN;EJECUCIÓN RT;CAÑUELAS;REENTUBE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;UBICACIÓN;RETIRO;LAVADO;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR HAZ;UBICACIÓN;RETIRO;LAVADO;LIMPIEZA PARA INSPECCION ;INSPECCION;RT POST INSPECCIÓN;EJECUCIÓN RT;EJECUCION ALCANCE;LIBERADO PARA INSTALAR;HAZ DE TUBOS;CANAL;TAPA CANAL;TCF Y ANILLOS / MEDIAS LUNAS;TAPA CASCO;LADO TUBOS;LADO CASCO;SOLDADURA DE SELLO;PINTURA ETERIOR;AISLAMIENTO ;RETIRO DE CIEGOS;RCA;;;;
5;U1300;E1312 A;PINTURA ETERNA;;200;CONDENSADOR DE LA T-1304;110;185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;;2;0;0,0%;
6;U1300;E1312 B;PINTURA ETERNA;;200;CONDENSADOR DE LA T-1304;110;185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;;2;0;0,0%;
7;U1300;E1317 A;MTTO GRAL, SANDBLASTING INTERIOR CON RECUBRIMIENTO Y RECUBRIMIENTO ETERIOR;;260;CONDENSADOR DE CIMA DE LA T-1305;115;300;OK;OK;PLANTA;OK;OK;;;;;NA;NA;;OK;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;;;;;;;OK;OK;;;;;;PLANTA;OK;OK;;;;;;;;;;;;;;;;NA;;;72;16;36,3%;
8;U1300;E1317 B;MTTO GRAL, SANDBLASTING INTERIOR CON RECUBRIMIENTO Y RECUBRIMIENTO ETERIOR;;260;CONDENSADOR DE CIMA DE LA T-1305;115;300;OK;OK;PLANTA;OK;OK;;;;;NA;NA;;OK;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;;;;;;;OK;OK;OK;NA;NA;NA;OK;PLANTA;OK;OK;;;;;;;;;;;;;;;;NA;;;69;18;40,5%;
9;U1300;"E1321
PACKINO";MTTO GRAL;;NA;PRECALENTADOR DE CARGA A H-1304;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;;;;6;0;0,0%;
10;U1400;E1401 A;MTTO GRAL CON INSTALACION DE BOQUILLAS LWN;;339;ENFRIADOR DE SOLVENTE PRIMARIO;375;225;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;;;;;;;OK;OK;OK;NA;NA;NA;OK;PLANTA;OK;OK;;;;;;;OK;OK;;;;;;;NA;;;;63;24;53,9%;
11;U1400;E1401 B;MTTO GRAL CON INSTALACION DE BOQUILLAS LWN;;339;ENFRIADOR DE SOLVENTE PRIMARIO;375;225;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;;OK;PLANTA;OK;OK;OK;OK;NA;NA;NA;OK;PLANTA;OK;OK;;;;;;;PLANTA;OK;OK;;;;;;;PLANTA;OK;;;;;;;OK;OK;OK;NA;NA;NA;OK;PLANTA;OK;OK;;;;;;;OK;OK;;OK;;;;;NA;;;;64;25;55,1%;
12;U1400;E1403 A;MTTO GRAL CON CAMBIO DE UES;;7;ENFRIADOR DE REFINATO;420;420;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;OK;PLANTA;OK;OK;OK;OK;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;;;;;;PLANTA;OK;OK;OK;;;;;;;;NA;NA;;;;;NA;;;;39;15;47,4%;
13;U1400;E1403 B;MTTO GRAL CON CAMBIO DE UES;;7;ENFRIADOR DE REFINATO;420;420;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;;PLANTA;OK;OK;OK;OK;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;;;;;;PLANTA;OK;OK;OK;;;;;;;;NA;NA;;;;;NA;;;;39;14;44,0%;
14;U1400;E1403 C;MTTO GRAL CON CAMBIO DE UES;;7;ENFRIADOR DE REFINATO;420;420;OK;OK;PLANTA;OK;OK;NA;OK;NA;NA;NA;NA;;PLANTA;OK;OK;OK;OK;NA;NA;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;OK;OK;;;;;;PLANTA;OK;OK;OK;;;;;;;;NA;NA;;;;;NA;;;;39;14;44,0%;
